label,tweet,words,features,rawPrediction,probability,prediction
0,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D","[@switchfoot, http://twitpic.com/2y1zl, -, awww,, that's, a, bummer., , you, shoulda, got, david, carr, of, third, day, to, do, it., ;d]","(1000,[7,14,21,54,91,170,220,246,311,334,343,372,388,425,499,534,605,760,950,961],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[4.439314497413009,5.560685502586992]","[0.4439314497413009,0.5560685502586992]",1.0
0,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,"[is, upset, that, he, can't, update, his, facebook, by, texting, it..., and, might, cry, as, a, result, , school, today, also., blah!]","(1000,[170,193,223,248,281,333,343,371,372,380,448,462,532,572,666,760,865,871,880,985,987,997],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[5.463492359385731,4.5365076406142695]","[0.5463492359385731,0.45365076406142696]",0.0
0,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,"[@kenichan, i, dived, many, times, for, the, ball., managed, to, save, 50%, , the, rest, go, out, of, bounds]","(1000,[10,36,77,188,207,248,329,338,343,372,388,520,654,674,684,708,710,717],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0])","[5.602976272108279,4.397023727891721]","[0.5602976272108279,0.4397023727891721]",0.0
0,my whole body feels itchy and like its on fire,"[my, whole, body, feels, itchy, and, like, its, on, fire]","(1000,[82,191,296,330,333,648,841,903,916,942],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[5.504435485550055,4.495564514449945]","[0.5504435485550055,0.44955645144499445]",0.0
0,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there.","[@nationwideclass, no,, it's, not, behaving, at, all., i'm, mad., why, am, i, here?, because, i, can't, see, you, all, over, there.]","(1000,[18,96,130,173,248,329,352,380,388,421,425,437,515,535,616,756,968,973,986],[1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0])","[5.004779834804539,4.995220165195461]","[0.5004779834804539,0.4995220165195461]",0.0
0,@Kwesidei not the whole crew,"[@kwesidei, not, the, whole, crew]","(1000,[18,223,710,758,903],[1.0,1.0,1.0,1.0,1.0])","[4.884236449783609,5.115763550216391]","[0.4884236449783609,0.5115763550216391]",1.0
0,Need a hug,"[need, a, hug]","(1000,[48,170,537],[1.0,1.0,1.0])","[4.884236449783609,5.115763550216391]","[0.4884236449783609,0.5115763550216391]",1.0
0,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?","[@loltrish, hey, , long, time, no, see!, yes.., rains, a, bit, ,only, a, bit, , lol, ,, i'm, fine, thanks, ,, how's, you, ?]","(1000,[139,157,170,230,253,346,372,388,421,425,431,434,446,817,830,850,904,963,976],[1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0])","[4.737353239410761,5.262646760589238]","[0.4737353239410761,0.5262646760589238]",1.0
0,@Tatiana_K nope they didn't have it,"[@tatiana_k, nope, they, didn't, have, it]","(1000,[48,234,299,432,495,748],[1.0,1.0,1.0,1.0,1.0,1.0])","[4.884236449783609,5.115763550216391]","[0.4884236449783609,0.5115763550216391]",1.0
0,@twittera que me muera ?,"[@twittera, que, me, muera, ?]","(1000,[161,324,471,490,976],[1.0,1.0,1.0,1.0,1.0])","[4.94614153371915,5.05385846628085]","[0.49461415337191494,0.5053858466280851]",1.0
0,spring break in plain city... it's snowing,"[spring, break, in, plain, city..., it's, snowing]","(1000,[13,193,301,437,445,450,588],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[4.884236449783609,5.115763550216391]","[0.4884236449783609,0.5115763550216391]",1.0
0,I just re-pierced my ears,"[i, just, re-pierced, my, ears]","(1000,[307,329,477,916,951],[1.0,1.0,1.0,1.0,1.0])","[5.504435485550055,4.495564514449945]","[0.5504435485550055,0.44955645144499445]",0.0
0,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .,"[@caregiving, i, couldn't, bear, to, watch, it., , and, i, thought, the, ua, loss, was, embarrassing, ., ., ., ., .]","(1000,[56,202,234,329,333,334,372,388,505,520,553,710,758,851,933],[5.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[5.317331029684854,4.682668970315146]","[0.5317331029684854,0.4682668970315146]",0.0
0,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore","[@octolinz16, it, it, counts,, idk, why, i, did, either., you, never, talk, to, me, anymore]","(1000,[126,230,329,388,425,471,495,561,607,625,837,850,925,973],[1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[4.142933209832226,5.857066790167775]","[0.4142933209832226,0.5857066790167775]",1.0
0,"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.","[@smarrison, i, would've, been, the, first,, but, i, didn't, have, a, gun., , , , not, really, though,, zac, snyder's, just, a, doucheclown.]","(1000,[18,83,170,201,299,307,310,329,372,406,441,535,537,544,586,685,692,710,748],[1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[5.120172035845035,4.8798279641549644]","[0.5120172035845034,0.48798279641549647]",0.0
1,I LOVE @Health4UandPets u guys r the best!!,"[i, love, @health4uandpets, u, guys, r, the, best!!]","(1000,[216,240,329,401,526,570,681,710],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[4.65614738179131,5.34385261820869]","[0.465614738179131,0.534385261820869]",1.0
1,im meeting up with one of my besties tonight! Cant wait!!  - GIRL TALK!!,"[im, meeting, up, with, one, of, my, besties, tonight!, cant, wait!!, , -, girl, talk!!]","(1000,[26,29,44,86,120,128,238,343,372,485,499,512,650,682,916],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[5.268076387014329,4.731923612985671]","[0.5268076387014329,0.4731923612985671]",0.0
1,"@DaRealSunisaKim Thanks for the Twitter add, Sunisa! I got to meet you once at a HIN show here in the DC area and you were a sweetheart.","[@darealsunisakim, thanks, for, the, twitter, add,, sunisa!, i, got, to, meet, you, once, at, a, hin, show, here, in, the, dc, area, and, you, were, a, sweetheart.]","(1000,[7,19,36,135,147,170,184,230,329,333,388,425,445,498,597,622,649,681,710,720,734,756,940,962],[1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0])","[4.251861404948528,5.748138595051473]","[0.4251861404948528,0.5748138595051473]",1.0
1,"Being sick can be really cheap when it hurts too much to eat real food  Plus, your friends make you soup","[being, sick, can, be, really, cheap, when, it, hurts, too, much, to, eat, real, food, , plus,, your, friends, make, you, soup]","(1000,[76,196,263,310,372,374,388,425,433,442,495,524,525,569,644,653,656,666,691,833,838,845],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[4.514772060864805,5.485227939135195]","[0.45147720608648056,0.5485227939135194]",1.0
1,@LovesBrooklyn2 he has that effect on everyone,"[@lovesbrooklyn2, he, has, that, effect, on, everyone]","(1000,[36,82,580,760,793,893,997],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[4.884236449783609,5.115763550216391]","[0.4884236449783609,0.5115763550216391]",1.0
1,@ProductOfFear You can tell him that I just burst out laughing really loud because of that  Thanks for making me come out of my sulk!,"[@productoffear, you, can, tell, him, that, i, just, burst, out, laughing, really, loud, because, of, that, , thanks, for, making, me, come, out, of, my, sulk!]","(1000,[1,36,201,230,307,310,329,343,350,372,421,425,445,471,613,654,760,833,850,916,964,972,996],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0])","[4.765148230436255,5.234851769563746]","[0.47651482304362547,0.5234851769563746]",1.0
1,@r_keith_hill Thans for your response. Ihad already find this answer,"[@r_keith_hill, thans, for, your, response., ihad, already, find, this, answer]","(1000,[36,56,57,188,263,340,373,467,510,865],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[4.776845596076994,5.223154403923006]","[0.4776845596076994,0.5223154403923006]",1.0
1,"@KeepinUpWKris I am so jealous, hope you had a great time in vegas! how did you like the ACM's?! LOVE YOUR SHOW!!","[@keepinupwkris, i, am, so, jealous,, hope, you, had, a, great, time, in, vegas!, how, did, you, like, the, acm's?!, love, your, show!!]","(1000,[0,157,170,173,237,240,260,263,270,329,330,368,425,445,453,495,544,607,612,710,881],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[4.318592529554698,5.681407470445303]","[0.4318592529554698,0.5681407470445303]",1.0
1,"@tommcfly ah, congrats mr fletcher for finally joining twitter","[@tommcfly, ah,, congrats, mr, fletcher, for, finally, joining, twitter]","(1000,[36,272,318,574,602,622,711,791,948],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[4.884236449783609,5.115763550216391]","[0.4884236449783609,0.5115763550216391]",1.0
1,@e4VoIP I RESPONDED  Stupid cat is helping me type. Forgive errors,"[@e4voip, i, responded, , stupid, cat, is, helping, me, type., forgive, errors]","(1000,[121,281,329,372,389,412,456,471,615,692,830,943],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[4.926082365569151,5.07391763443085]","[0.4926082365569151,0.507391763443085]",1.0
1,crazy day of school. there for 10 hours straiiight. about to watch the hills. @spencerpratt told me too! ha. happy birthday JB!,"[crazy, day, of, school., there, for, 10, hours, straiiight., about, to, watch, the, hills., @spencerpratt, told, me, too!, ha., happy, birthday, jb!]","(1000,[36,72,141,161,202,206,295,343,388,450,471,505,538,563,605,710,721,777,831,955,992],[1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[4.7151545474063665,5.2848454525936335]","[0.47151545474063666,0.5284845452593634]",1.0
1,@naughtyhaughty HOW DID I FORGET ABOUT TWO AND A HALF MEN?!?!? I LOVE THAT SHOW!!!,"[@naughtyhaughty, how, did, i, forget, about, two, and, a, half, men?!?!?, i, love, that, show!!!]","(1000,[170,237,240,259,329,333,408,523,607,638,760,777,780,831],[1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[4.65614738179131,5.34385261820869]","[0.465614738179131,0.534385261820869]",1.0
