label,tweet,words,features,rawPrediction,probability,prediction
0,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D","[@switchfoot, http://twitpic.com/2y1zl, -, awww,, that's, a, bummer., , you, shoulda, got, david, carr, of, third, day, to, do, it., ;d]","(1000,[7,14,21,54,91,170,220,246,311,334,343,372,388,425,499,534,605,760,950,961],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[-0.9010125659403383,0.9010125659403383]","[0.2888424592178361,0.7111575407821639]",1.0
0,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,"[is, upset, that, he, can't, update, his, facebook, by, texting, it..., and, might, cry, as, a, result, , school, today, also., blah!]","(1000,[170,193,223,248,281,333,343,371,372,380,448,462,532,572,666,760,865,871,880,985,987,997],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[1.8419570680774555,-1.8419570680774555]","[0.8631800020474202,0.1368199979525798]",0.0
0,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,"[@kenichan, i, dived, many, times, for, the, ball., managed, to, save, 50%, , the, rest, go, out, of, bounds]","(1000,[10,36,77,188,207,248,329,338,343,372,388,520,654,674,684,708,710,717],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0])","[1.5648855496114047,-1.5648855496114047]","[0.8270532801734568,0.17294671982654308]",0.0
0,my whole body feels itchy and like its on fire,"[my, whole, body, feels, itchy, and, like, its, on, fire]","(1000,[82,191,296,330,333,648,841,903,916,942],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[0.22286270195627028,-0.22286270195627028]","[0.5554862089535354,0.44451379104646466]",0.0
0,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there.","[@nationwideclass, no,, it's, not, behaving, at, all., i'm, mad., why, am, i, here?, because, i, can't, see, you, all, over, there.]","(1000,[18,96,130,173,248,329,352,380,388,421,425,437,515,535,616,756,968,973,986],[1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0])","[3.23587893775227,-3.23587893775227]","[0.9621623637247819,0.037837636275218134]",0.0
0,@Kwesidei not the whole crew,"[@kwesidei, not, the, whole, crew]","(1000,[18,223,710,758,903],[1.0,1.0,1.0,1.0,1.0])","[0.3326347881292413,-0.3326347881292413]","[0.5824003229382166,0.41759967706178336]",0.0
0,Need a hug,"[need, a, hug]","(1000,[48,170,537],[1.0,1.0,1.0])","[0.0984909245416637,-0.0984909245416637]","[0.5246028461018398,0.4753971538981601]",0.0
0,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?","[@loltrish, hey, , long, time, no, see!, yes.., rains, a, bit, ,only, a, bit, , lol, ,, i'm, fine, thanks, ,, how's, you, ?]","(1000,[139,157,170,230,253,346,372,388,421,425,431,434,446,817,830,850,904,963,976],[1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0])","[-2.3498070018591073,2.3498070018591073]","[0.08708111418259627,0.9129188858174037]",1.0
0,@Tatiana_K nope they didn't have it,"[@tatiana_k, nope, they, didn't, have, it]","(1000,[48,234,299,432,495,748],[1.0,1.0,1.0,1.0,1.0,1.0])","[0.8284341740424049,-0.8284341740424049]","[0.6960237424005052,0.30397625759949476]",0.0
0,@twittera que me muera ?,"[@twittera, que, me, muera, ?]","(1000,[161,324,471,490,976],[1.0,1.0,1.0,1.0,1.0])","[-0.13084610519804696,0.13084610519804696]","[0.4673350642969429,0.5326649357030571]",1.0
0,spring break in plain city... it's snowing,"[spring, break, in, plain, city..., it's, snowing]","(1000,[13,193,301,437,445,450,588],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[0.2449414476005351,-0.2449414476005351]","[0.5609310296573768,0.4390689703426232]",0.0
0,I just re-pierced my ears,"[i, just, re-pierced, my, ears]","(1000,[307,329,477,916,951],[1.0,1.0,1.0,1.0,1.0])","[-0.39661289229239977,0.39661289229239977]","[0.4021264002454908,0.5978735997545093]",1.0
0,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .,"[@caregiving, i, couldn't, bear, to, watch, it., , and, i, thought, the, ua, loss, was, embarrassing, ., ., ., ., .]","(1000,[56,202,234,329,333,334,372,388,505,520,553,710,758,851,933],[5.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[0.6936142137852251,-0.6936142137852251]","[0.6667704437480628,0.3332295562519372]",0.0
0,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore","[@octolinz16, it, it, counts,, idk, why, i, did, either., you, never, talk, to, me, anymore]","(1000,[126,230,329,388,425,471,495,561,607,625,837,850,925,973],[1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[0.034564002991060605,-0.034564002991060605]","[0.5086401405882774,0.49135985941172267]",0.0
0,"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.","[@smarrison, i, would've, been, the, first,, but, i, didn't, have, a, gun., , , , not, really, though,, zac, snyder's, just, a, doucheclown.]","(1000,[18,83,170,201,299,307,310,329,372,406,441,535,537,544,586,685,692,710,748],[1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[2.9811268760456135,-2.9811268760456135]","[0.9517141824447449,0.048285817555255045]",0.0
1,I LOVE @Health4UandPets u guys r the best!!,"[i, love, @health4uandpets, u, guys, r, the, best!!]","(1000,[216,240,329,401,526,570,681,710],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[-1.4234637288385303,1.4234637288385303]","[0.19411915440582672,0.8058808455941733]",1.0
